year,city,country,avg_temp,Corrected avg,5yr Mv avg,10yr Mv avg,15yr Mv avg
1796,Delhi,India,25.03,25.03,,,
1797,Delhi,India,26.71,26.71,,,
1798,Delhi,India,24.29,24.29,,,
1799,Delhi,India,25.28,25.28,,,
1800,Delhi,India,25.21,25.21,25.304,,
1801,Delhi,India,24.22,24.22,25.142,,
1802,Delhi,India,25.63,25.63,24.926,,
1803,Delhi,India,25.38,25.38,25.144,,
1804,Delhi,India,25.68,25.68,25.224,,
1805,Delhi,India,25.3,25.3,25.242,25.273,
1806,Delhi,India,25.22,25.22,25.442,25.292,
1807,Delhi,India,24.97,24.97,25.31,25.118,
1808,Delhi,India,,25.62,25.358,25.251,
1809,Delhi,India,,25.62,25.346,25.285,
1810,Delhi,India,,25.62,25.41,25.326,25.31866667
1811,Delhi,India,,25.62,25.49,25.466,25.358
1812,Delhi,India,,25.62,25.62,25.465,25.28533333
1813,Delhi,India,24.56,24.56,25.408,25.383,25.30333333
1814,Delhi,India,23.73,23.73,25.03,25.188,25.2
1815,Delhi,India,24.09,24.09,24.724,25.067,25.12533333
1816,Delhi,India,23.7,23.7,24.34,24.915,25.09066667
1817,Delhi,India,23.86,23.86,23.988,24.804,24.97266667
1818,Delhi,India,24.37,24.37,23.95,24.679,24.90533333
1819,Delhi,India,23.9,23.9,23.984,24.507,24.78666667
1820,Delhi,India,24.12,24.12,23.99,24.357,24.708
1821,Delhi,India,24.83,24.83,24.216,24.278,24.682
1822,Delhi,India,24.93,24.93,24.43,24.209,24.67933333
1823,Delhi,India,24.63,24.63,24.482,24.216,24.61333333
1824,Delhi,India,25.3,25.3,24.762,24.373,24.592
1825,Delhi,India,25.11,25.11,24.96,24.475,24.558
1826,Delhi,India,25.12,25.12,25.018,24.617,24.52466667
1827,Delhi,India,25.36,25.36,25.104,24.767,24.50733333
1828,Delhi,India,24.9,24.9,25.158,24.82,24.53
1829,Delhi,India,24.71,24.71,25.04,24.901,24.59533333
1830,Delhi,India,25.07,25.07,25.032,24.996,24.66066667
1831,Delhi,India,24.43,24.43,24.894,24.956,24.70933333
1832,Delhi,India,24.62,24.62,24.746,24.925,24.76
1833,Delhi,India,24.85,24.85,24.736,24.947,24.792
1834,Delhi,India,24.82,24.82,24.758,24.899,24.85333333
1835,Delhi,India,23.9,23.9,24.524,24.778,24.83866667
1836,Delhi,India,24.54,24.54,24.546,24.72,24.81933333
1837,Delhi,India,24.42,24.42,24.506,24.626,24.78533333
1838,Delhi,India,24.38,24.38,24.412,24.574,24.76866667
1839,Delhi,India,24.45,24.45,24.338,24.548,24.712
1840,Delhi,India,24.72,24.72,24.502,24.513,24.686
1841,Delhi,India,24.49,24.49,24.492,24.519,24.644
1842,Delhi,India,24.78,24.78,24.564,24.535,24.60533333
1843,Delhi,India,24.75,24.75,24.638,24.525,24.59533333
1844,Delhi,India,24.36,24.36,24.62,24.479,24.572
1845,Delhi,India,24.6,24.6,24.596,24.549,24.54066667
1846,Delhi,India,25.16,25.16,24.73,24.611,24.58933333
1847,Delhi,India,24.66,24.66,24.706,24.635,24.592
1848,Delhi,India,24.45,24.45,24.646,24.642,24.56533333
1849,Delhi,India,24.49,24.49,24.672,24.646,24.54333333
1850,Delhi,India,24.78,24.78,24.708,24.652,24.602
1851,Delhi,India,24.76,24.76,24.628,24.679,24.61666667
1852,Delhi,India,24.65,24.65,24.626,24.666,24.632
1853,Delhi,India,24.88,24.88,24.712,24.679,24.66533333
1854,Delhi,India,25.02,25.02,24.818,24.745,24.70333333
1855,Delhi,India,25.24,25.24,24.91,24.809,24.738
1856,Delhi,India,23.86,23.86,24.73,24.679,24.696
1857,Delhi,India,24.3,24.3,24.66,24.643,24.664
1858,Delhi,India,,25.62,24.808,24.76,24.722
1859,Delhi,India,,25.62,24.928,24.873,24.806
1860,Delhi,India,,25.62,25.004,24.957,24.874
1861,Delhi,India,,25.62,25.356,25.043,24.90466667
1862,Delhi,India,,25.62,25.62,25.14,24.96866667
1863,Delhi,India,,25.62,25.62,25.214,25.04666667
1864,Delhi,India,,25.62,25.62,25.274,25.122
1865,Delhi,India,,25.62,25.62,25.312,25.178
1866,Delhi,India,,25.62,25.62,25.488,25.23533333
1867,Delhi,India,,25.62,25.62,25.62,25.3
1868,Delhi,India,,25.62,25.62,25.62,25.34933333
1869,Delhi,India,,25.62,25.62,25.62,25.38933333
1870,Delhi,India,24.89,24.89,25.474,25.547,25.366
1871,Delhi,India,24.88,24.88,25.326,25.473,25.434
1872,Delhi,India,24.94,24.94,25.19,25.405,25.47666667
1873,Delhi,India,25.06,25.06,25.078,25.349,25.43933333
1874,Delhi,India,24.25,24.25,24.804,25.212,25.348
1875,Delhi,India,25.38,25.38,24.902,25.188,25.332
1876,Delhi,India,24.93,24.93,24.912,25.119,25.286
1877,Delhi,India,25.08,25.08,24.94,25.065,25.25
1878,Delhi,India,25.18,25.18,24.964,25.021,25.22066667
1879,Delhi,India,24.86,24.86,25.086,24.945,25.17
1880,Delhi,India,25.45,25.45,25.1,25.001,25.15866667
1881,Delhi,India,25.09,25.09,25.132,25.022,25.12333333
1882,Delhi,India,24.89,24.89,25.094,25.017,25.07466667
1883,Delhi,India,24.82,24.82,25.022,24.993,25.02133333
1884,Delhi,India,24.67,24.67,24.984,25.035,24.958
1885,Delhi,India,24.38,24.38,24.77,24.935,24.924
1886,Delhi,India,24.89,24.89,24.73,24.931,24.92466667
1887,Delhi,India,24.9,24.9,24.732,24.913,24.922
1888,Delhi,India,24.88,24.88,24.744,24.883,24.91
1889,Delhi,India,25.21,25.21,24.852,24.918,24.974
1890,Delhi,India,25.06,25.06,24.988,24.879,24.95266667
1891,Delhi,India,24.68,24.68,24.946,24.838,24.936
1892,Delhi,India,25.49,25.49,25.064,24.898,24.96333333
1893,Delhi,India,23.84,23.84,24.856,24.8,24.874
1894,Delhi,India,24.74,24.74,24.762,24.807,24.866
1895,Delhi,India,25.15,25.15,24.78,24.884,24.846
1896,Delhi,India,25.83,25.83,25.01,24.978,24.89533333
1897,Delhi,India,25.39,25.39,24.99,25.027,24.92866667
1898,Delhi,India,25.55,25.55,25.332,25.094,24.97733333
1899,Delhi,India,25.86,25.86,25.556,25.159,25.05666667
1900,Delhi,India,25.56,25.56,25.638,25.209,25.13533333
1901,Delhi,India,25.49,25.49,25.57,25.29,25.17533333
1902,Delhi,India,25.66,25.66,25.624,25.307,25.226
1903,Delhi,India,25.14,25.14,25.542,25.437,25.24333333
1904,Delhi,India,25.07,25.07,25.384,25.47,25.234
1905,Delhi,India,24.75,24.75,25.222,25.43,25.21333333
1906,Delhi,India,25.17,25.17,25.158,25.364,25.246
1907,Delhi,India,25.02,25.02,25.03,25.327,25.21466667
1908,Delhi,India,25.14,25.14,25.03,25.286,25.30133333
1909,Delhi,India,24.75,24.75,24.966,25.175,25.302
1910,Delhi,India,24.81,24.81,24.978,25.1,25.27933333
1911,Delhi,India,25.36,25.36,25.016,25.087,25.248
1912,Delhi,India,25.25,25.25,25.062,25.046,25.23866667
